source_type,session,model_test,source_page,source_question_number,status,difficulty,answer_source,correct_option,topic_tags,validation_issues,question_text,options_json
previous_year,,,12,60,draft,easy,needs_review,,cell-biology|zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"সমাধান: (৫); আযাট্রয়াম, SET ও সাইনাস ভেনোসাস শ64+56শ 2. wa=10 ওষ্যাস শু 2"" 20 নামক তিনটি প্রকোষ্ঠ রয়েছে রুই মাছের wee) তবে | 72- সমাধান:","[{""label"":""a"",""text"":""; প্রশ্নমতে, ৪ এর অবস্থান ১ম চতুর্তাগে। প্রকৃতপক্ষে রুই মাছের হৃৎপিণ্ড দুই প্রকোষ্ঠ বিশিষ্ট। সাইনাস ৬৬৫৪০১০০০৪৩ তই; sing =; seco = 22 ভেনোসাস একটি উপ-গ্রকোষ্ঠ। JELLIES. SEL)""}]"
previous_year,,,12,65,draft,easy,needs_review,,botany|plant-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান: (9; আবৃতবীজী উদ্ভিদের এন্ডোস্পার্ম Dus ধরনের। অপরদিকে AA উদ্ভিদের এন্ডোস্পার্ম হ্যাপ্লয়েড। | 74. সমাধান: (৫); 2,[]
previous_year,,,12,66,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,TANI,"[{""label"":""a"",""text"":""; সবুজ শৈবাল, Riceia, Marchantia= এর মতো ATCT ব্রায়োফাইটস এর সমগ্র দেহেই ক্লোরোপ্লাস্ট থাকে। ৩৪. সমাধান:""}]"
previous_year,,,18,60,draft,easy,needs_review,,botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"কোন উদ্ভিদে aon TET বান্ডল থাকে না? চা তা একটি কাল্পনিক ঘনসূল হয়, তবে OM mE © (4)কলাবতী Le Ww 1 | =",[]
previous_year,,,18,61,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"ফড়িং-এর ওমাটিডিয়ামে অবস্থিত আইট্রালি কোষের সংখ্যা ০ -৬ কত? রে mz ০৪ @-+ লতি (১3টি ©4F (৪6টি Bo চা ল২, x অক্ষ, x=0 এবং x=3 দ্বারা আবদ্ধ ক্ষেত্রের",[]
previous_year,,,18,62,draft,hard,needs_review,,human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"মানুষের রক্তে রক্তকণিকা ও রক্তরসের অনুপাত কত? oa কত বর্গ একক? খে চড় © @u Gr, টো) 08 @9",[]
previous_year,,,18,63,draft,easy,needs_review,,zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"কোন প্রাণীতে লার্তা দশায় নটোকর্ড থাকে? 74. ডগা» ? অধিবৃত্তের উৎকেন্দ্রিকতা হবে- @) Branchiostoma (©) dscidia ®2 দঃ © ও: (©) Mine @ Pristis 75, limes -?",[]
previous_year,,,18,64,draft,hard,needs_review,,genetics,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"SIT SIO কোন তর থেকে শুল্রাশয় fw |, + তৈরি হয়? নে ৬২ ও @1 (© এপিমেয়ার ® মেসোমেয়ার 76 y= আধা তেই হলে গত? © এন্ডোমেয়ার (4) হাইপোমেয়ার Ol ভেড়ার শুয়ে ভেতর 65 ১ Faw - hh হয? 77, (0,0).00,0) এবং (3,3) বিন্দু তিনটি সমরেখ হলে pt + ৭7 এর মান হবে- (©) পরিপুরক জিদ (4) সেক্সলিংকড জিন @o ৬: রঃ",[]
previous_year,,,18,66,draft,easy,needs_review,,zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,রুই মাছে বায়ু থলির সম্মুখ প্রকো্ঠটি কোন নালী দ্বারা অন্ননালির 3 © @1 Ta fd? (৪) নিউমেটিক ভেসেল (©) নিউমেটিক ডা্ট @2 ®1 [CH @o (9) নিউমেটিক ভেইন (© নিউমেটিক স্যাক 79. 1- খন মুলবিশিষ্ট দিঘাত সমীকরণ কোনটি?,[]
previous_year,,,18,67,draft,easy,needs_review,,botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,দিবীজপরী উড্িদের পাতার শিরাবিন্যাস কি ধরনের? @F-2-4=0 চ)১১২--2২++০০ (৯) সমান্তরাল © বৃত্তাকার ©F+2A—4=0 )%+2+4-0 (এ রৈখিক (4) জালিকাকার 8০. 2x2 বর্গ www ০/- [১10] ; 1 ₹! হলে নিচের 8৪. পরিণত জাইলেম টিস্যুর সজীব উপাদান কোনটি? JI : Wf ০) From ও 5) 3 5 4 5 6 4 (©) ভেসেল (৫) প্যারেনকাইমা of) ০60259859৩6 3 ডা ছেটে ও ৬ পদিব্জলমগভারে নব পক্ষ...,[]
previous_year,,,19,71,draft,easy,needs_review,,cell-biology|botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,হাইডার দেহপ্রাচীরের কোন তরে পুষ্টিকোষ পাওয়া যায়? ৩6. কোন ইমিউনো গ্লোবিউলিন wow প্লাসেন্টা অতিক্রম করে | (৭) এপিডার্মিস iad বাচ্চার শরীরে প্রবেশ করে? (9) এট্টোডার্মিস (4) creat (© 1gM ৬১৪৪ ©BA (0)186 72. কোন উদ্ভিদের কাণ্ড বদ্ধ ভাস্কুলার বান্ডল দেখা যায়?,[]
previous_year,,,19,57,draft,easy,needs_review,,genetics|botany|zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন উড়িদের ফুলের নাম পুষ্পিকা? (৭) হরিতকি (8) কসমস (০) ডালিয়া (৫)গম GT GA (০) কাঁঠাল (৫) মটরভুটি | 73. কোন প্রাণীর গণ ও প্রজাতি নাম একই হলে তাকে বলা হয়- ৩8. কোন মাছের দেহতবক গ্যানয়েড আঁইশ দ্বারা আবৃত থাকে? (2) টটোনিম (৬) সিনোনিম o Portis o Splyrna (9) এ্যানটোনিম (৫) টটিপোটটেন্ট ©) La abs,[]
previous_year,,,19,5,draft,medium,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,fee কোন Sa: পাওয়ায়? mr. mE ()শাপলা-পদ্য ০) আযালানটয়েস (৮) কোরিওন wg ও) ধান-ধনিয়া (©) mR (4) কোরিওনিক fom 6০. ফোষ বিভাজনের কোন পর্যায়ে সিন্যাপসিস ঘটে? 75. লিখল জিমের কারণে কোন GH হয়? (© Rowan (0) প্যাকাইটিন (@) থ্যালাসেমিয়া Ade ৩) লেপ্টোটিন (4) জাইগোটিন (৮) বর্ণাস্মতা ও রাতকানা,[]
previous_year,,,19,61,draft,easy,needs_review,,botany|human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,মানবদেহের পাকস্থলিতে কোন খাদ্য পরিপাক হয়না? (© ছিমোফিলিয়া ও থ্যালাসেমিয়া (8) প্রোটিন (৮) কার্বোহাইড্রেট (৫) রাতকানা ও হিমোফিলিয়া (৩) লিপিড (4) ভিটামিন 76. fr দেখা যায় উদ্ভিদের কোন গোর?,[]
previous_year,,,19,62,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,ক্যারিওপসিস কোন গোত্রের বৈশিষ্ট্য? © Asteraceae (8) 7০৯০০%০,"[{""label"":""a"",""text"":""Malvaceae""},{""label"":""b"",""text"":""Solanaceae (9) Polygonaceae (৫) Solanaceae (9) Poaceae (0) Liliaceae 77. WE মাছের ফুলকার প্রতি সারি ল্যামেলাকে বলা হয়-""}]"
previous_year,,,19,63,draft,easy,needs_review,,cell-biology|zoology|human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন প্রাণীর রেচন অঙ্গের নাম শিখা কোষ? (9) হলোত্রাহ্ক 18) সিউডোব্রা্ক Fasisa © Octopus ৩৩) হোমোত্রাঙ্ক (9) afters ©) Ascaris Hirudo,[]
previous_year,,,19,64,draft,easy,needs_review,,botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন উদিদের ফুল অধিগর্ভ? 7 ০ eh দেন ঢা যয = ৭) পেয়ারা OTE (9) টেড়শ (৫) ডালিম রব,[]
previous_year,,,19,65,draft,medium,needs_review,,cell-biology|botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন মেমবেন ঘারা উদ্ভিদ কোষের গল আবৃত থাকে? 79. কোন পর্বের পণীতে পিনাকোডার্ম ও কোয়ানোডার্ম নামক দুটি (© ইলায়োপলাস্ট ©) আালিউরোপ্লাস্ট কোষীয় তর থাকো? © a @ আমাইনোগ্লন্ট (9 আর্থোপোডা Oars,[]
previous_year,,,19,66,draft,easy,needs_review,,botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোনটি এপিগাইনাস ফুলের উদাহরণ? (0) Fifi (4) পরিফেরা (৪) শসা ০)আলু © (৫)টমেটো | 80. কোনটি সিনোসাইটিক শৈবাল?,[]
previous_year,,,19,67,draft,easy,needs_review,,botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন উদ্ভিদের পাতা যৌগিক নয়? 6) ascheria id @OF gE (9) জাম (৫) নিম (©) Chara ও) Spirogyra,[]
previous_year,,,19,69,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,ঘাস ফড়িং-এর হৃদ প্রকোষ্ঠের চন্দ্রাকৃতির ছিদ্রকে বলা হয়- এর মান হবে- (৪) অসকুলাম (8) অস্টিয়া @-1 ®1 ©2 @-2 (০) অস্টিওপোর (৫) অসঞ্ররাডিয়াম 5. [লা,[]
previous_year,,,19,70,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"ঘাস ফড়িং-এর ওমাডিয়ামে অবস্থিত কর্নিয়াজেন কোষের সংখ্যা Hex কত? ৬০0) +০ )10002+6 2"" ()3F (০4টি (6% © Wn(nx) +c (৫) কোনটিই নয় TE ETT derma se m.. [নু",[]
previous_year,,,23,70,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান:,"[{""label"":""a"",""text"":""; ০০5৪ + 5০০৪ = 2০ ০৪৪ + দে =2 মাছ যাদের আঁইশ গ্যানয়েড প্রকৃতির। ০১০০০২৪-- 2০০৪৪+ 1০0 cod 63. TRG:""}]"
previous_year,,,23,71,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান: সেঠিক উত্তর অপশনে নে,"[{""label"":""c"",""text"":""; Foy = ma = mg = উদ্ভিদের মুল অফিগর্ত। ma S98 76 ওর mam Tamper | 65. সমাধান: সেঠিক উত্তর নে""}]"
previous_year,,,23,172,draft,easy,needs_review,,botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,TEE (80; Ho? — 0) + {0 = 6) + WH 0%) টনোপ্রাস্ট নামক পাতলা মেমর্রেন ঘারা আবৃত থাকে। 1140 fm 3d mg | 77. সমাধান: (4); প্রত্যেক ফুলকা দুই সারি ফুলকা সূত্র বহন করে।,[]
previous_year,,,27,45,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কক্ষ SUOMI Zan ও Fel Fe তড়িৎঘবারের বিজারণ | 53. পারসেপট্রনের অর্থ- 'বিভব যথাক্রমে —0.76 এবং —0.44 V1 তড়িৎ কোষটির বিভব (৩) উচ্চ শক্তিষ্তরের ইলেকট্রন (৬) নিয় শক্তিস্তরের ইলেকট্রন 'কত ভোল্ট? (© কৃত্রিম নিউরোন (4) কোনোটিই নয় ০১০32 (9-032 12 (ta |S নিচের কোন যা ট্যাগের Gf i প্রয়োজন হয় না-,[]
previous_year,,,27,47,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"জৈব যৌগে কার্বন-কার্বন দবিবদ্ধনের অবস্থান নির্ণয়ে নিচের কোন জেদ পদ্ধতিটি ব্যবহার করা হয়? ও এর মান 70 হলে, আউটপুট কী হবে?","[{""label"":""a"",""text"":""ওজোনোলাইসিস (৮) ফটোলাইসিস (@) A+ (®) Fail (9) পলিমারাইজেশন (৫) পাইরোলাইসিস (©) Pass (4) কোনোটিই নয় খ-শাখা (fore): জীববিদ্যা + গণিত বা জীববিদ্যা বা গণিত 'জীববিদ্যা+গণিত 59. হার্ট এটাক রোগীরজমাট বাঁধা রক্তকে গলিয়ে দিতে ৰ্যবহার করা হয়-""}]"
previous_year,,,27,57,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,নিচের কোন কোষে সর্বাধিক সংখ্যক মাইটোকন্ডিয়া থাকে? পরিণত হয়- @ মাংসপেশির কোষ (০) চোখের কোষ ০) গ্লাইকোজেমেসিস ৬) ইযালসিফিকেশন (© কিডনির কোষ (4) মস্তিস্কের কোষ © গ্লাইকোজেনোলাইসিস (4) লাইপোজেনেসিস,[]
previous_year,,,27,58,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,হিস্টামিন তৈরি করে- 61. লসিকাতন্ত্র বহন করে না-,"[{""label"":""a"",""text"":""1-লিম্ফোসাইট 0) ৪-লিস্ফোসাইট (০) া-লিল্ফোপাইট (৬) ৪-লিস্ফোসাইট (©) মনোসাইট (৫) বেসোফিল (9) লোহিত রক্তকণিকা (৫) কোনটিই নয় ছা ০ ও co এতামা দু'পা... মি""}]"
previous_year,,,28,67,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,উড়িদ কোষের রান্নাঘর. © ire @3¢ +e,"[{""label"":""a"",""text"":""ক্লোরোললাস্ট ৬) মাইটোকন্ট্রিয়া Ps (©) সেস্ট্রিওন (৫4) cms""}]"
previous_year,,,28,73,draft,easy,needs_review,,botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,2x=y? + By + 22 পরাবৃত্তের THRE gE কোনটি? | 58. কোন নগ্নবীজী উদ্ভিদে দ্বিনিষেক ঘটে? @G~0 OED ©C3-3)@ GY) (@) Gretsm (8) Cycas (০) Pinus,"[{""label"":""d"",""text"":""Ephedro""}]"
previous_year,,,28,75,draft,easy,needs_review,,zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"4-[2 3] হলেথ ৫ হবে 6০. 7৬৮০৮১০০৪৫৪ শ্রেণির মাছেরা কী নামে পরিচিত? @ ২ 3 ® [+ pl (৭) হ্যাগফিশ QT (9) স্লাইম ঈল (৫) লাংফিশ, [4 -5] ও 4] 61. কোন ব্লাড SFR ব্যক্তিকে সার্বজনীন গ্রহীতা বলা হয়? ©f 2 ও J @A চ৪ © @O (EET cee",[]
previous_year,,,29,62,draft,hard,needs_review,,genetics|cell-biology|cell-division,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,মাইটোসিস কোষ বিভাজনে ডিএনএ রেস্লিকেশন হয় যে দশায়- ০১০1 ৬১০১ (০৪ (৫) সবগুলোই,[]
previous_year,,,29,63,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সোমাটোস্ট্যাটিন ক্ষরিত হয়- ৩6. J ৬৭০০০ + sinx) dx TT কোনটি? (8) ও-কোষ ০) চ-কোষ (9) 0-কোষ (৫) -কোষ @esinxte ®) —fsinx +c,[]
previous_year,,,29,65,draft,easy,needs_review,,cell-biology|botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,কোন উদ্ভিদ কোষে নিউক্লিয়াস থাকে না? HOF TE ms?,[]
previous_year,,,29,0,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"সীভনল _ (৮) সঙ্গীকোষ (0) ট্রাকিড (৫)ভেসেল (8) 6%3,6 (৬)১৪,6%হ",[]
previous_year,,,29,68,draft,easy,needs_review,,human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,ইনটারফেরন কী? @s ৮ ®=s © @-6 (@ cans ৬) হরমোন 6০. ৮ রণ Pullin ২য় সারির উপাদানগুলার সহগুণক ওকার্বাহইডেট ও) লিপিড A,[]
previous_year,,,29,71,draft,medium,needs_review,,cell-biology|botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"ফ্যাটি এসিডের বিপাক উদ্ভিদ কোষের কোথায় ঘটে? 8 0০)৪ ০5 @3F (=) গ্লাইঅক্সিসোম (৮) TRA 62. sin"" (= cos) + sin~* (cos 3x) = কোনটি? (©) রাইবোসোম (@ FE @-tx O-2 @m-2 (4)য়- বম",[]
previous_year,,,29,77,draft,medium,needs_review,,human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,আমরা অস্ন জাতীয় খাদ্য গ্রহণ করা সত্ত্বেও রক্তের Pw wl awe? পরিবর্তন না হওয়ার কারণ- @3 [OH ©6 [OH,"[{""label"":""a"",""text"":""এন্টিবডি (৬) এন্টিজেন (০) রক্তের গ্রুপ(৫) বাফার 68. tand = (0 <B< Bl হলে, S00 এর মান কোনটি?""}]"
previous_year,,,29,78,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,গ্লাইকোলাইসিস কোষের কোন অঙ্গাণুতে ঘটে? * jg meas (9) TRE ©) মেসোসোম ©7 টের শে এট (৩) গলগি বড়ি (©) প্লোটোপ্লাস্ট 69. ম৫+ ১ ঢং এবং মঃ+52-8%-9 - 0 বৃত্ত দুইটি,[]
previous_year,,,29,79,draft,easy,needs_review,,zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,Gastrovascular Cavity কোন প্রাণীতে পাওয়া যায়? পরস্পরকে অন্তঃস্থভাবে স্পর্শ করলে p এর মান কোনটি? @ Sopha 0) Hydra (9) Teenia (0) Aurelia ৬10 ®1 ©4 @6,[]
previous_year,,,32,58,draft,easy,needs_review,,human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান: (৭); বেসোফিল হিন্টামিন নিঃসরণ করে রোগ এন-[ ৭ ভন - ২ তা প্রতিরোধ সমতা বৃদ্ধি করে ও হেপারিন ক্ষরণ করে রক্তকে | 76 সমাধান: 0 ST রক্তনালির মধ্যে অমাট বাঁধতে বাধা প্রদান করে। relma,[]
previous_year,,,32,59,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান:,"[{""label"":""a"",""text"":""; হার্ট এটাক রোগীর জমাট বাঁধা রক্ত গলাতে- দরে = শ্ট্রেপটোকাইনেজ, মস্তিক ও ধমনির জমাট রক্ত গলাতে- | 77. সমাধান: (9; কেন্দ্র 3); 'ইউরোবাইলেজ। a = EEE Bf একক""}]"
previous_year,,,32,63,draft,easy,needs_review,,cell-biology|human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান: (9; এরিখ্রোপরেটিন বৃক্ হতে whe হয় এবং সমীকরণ: (&- 93+ 03) = 12 ea উপর কাজ করে৷ এই হরমোন অসথযজ্জায় অবস্থিত ym Gk Gy 2620 প্টেম কোষকে REPRE (RB,"[{""label"":""c"",""text"":""উৎপাদনে উদ্দীপনা জোগায়। | 78. সমাধান:""},{""label"":""a"",""text"":""3x — py — 3 = 0 রেখার ঢাল TR এই হরমোন হান পেলে রক্তাম্পতা ৰা আযানেমিয়া হয়। SLi. gos ৩7. TA: (2); কলরোরোগ্লাস্টের অপর নাম সমূহ: GOUT চারা (Kitchen of ei), শর্করাজাতীয় খাদ্যের কারখানা (Factory | 79. সমাধান: (৭১25 3৮০ + 2; (30 =2 of synthesis of sugar), শক্তি FEE অঙ্গাগু। ৬ অভিনম্বের ঢাল - 4""}]"
previous_year,,,32,68,draft,easy,needs_review,,cell-biology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান: (৫); প্রাণিকোষের সর্ববৃহৎ weg — নিউক্লিয়াস। | প্রাণিকোষের সর্ববৃহৎ সাইটোগ্লাজমীয় অঙগাবু - প্রা্টিড। অভিনব: 65-৪0-0১৭৯ - ৫2 শু x,[]
previous_year,,,32,72,draft,easy,needs_review,,cell-biology|human-physiology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"সমাধান; (0); Stan? 6 - ৪০০২৪ = 11. আলফা কোষ (৫ Cell) - ধুকাগন ক্ষরণ করে, বিটা কো ০5 o's ~1-tan?0=11[g=Sen=t (Bell) » ইনসুলিন ক্ষরণ করে, কলম ৪০12 হু ie রত এবং ০ তয় - হত ডেল্টাকোষ 5 Cell) — সোমটোস্ট্যাটিন ক্ষরণ করে, গামাকেো n= কত যব ও এ তা 0081) -» প্যানক্রিয়েটিক পলিপেপটাইড হরমোন ক্ষরণ করে",[]
previous_year,,,32,73,draft,easy,needs_review,,zoology,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,"সমাধান: (৪); 2x 5১২৭ 2-5-4474২47 6 67. সমাধান: (0); HA = 2x64 (+A = 23) * মাছ কোন অঙ্গের সাহায্যে পানির বিভিন্ন স্তর সম্পরন ও শীর্ষবিদ্দু (3,-4) জানতে পারে > পার্শ্বরেখা।",[]
previous_year,,,32,74,draft,easy,needs_review,,,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,সমাধান:,"[{""label"":""b"",""text"":""; কোনো সংখ্যার সাথে! গুণ করলে তা * প্রধান চলন অঙ্গ + পুচ্ছ পাখনা। পরিমাণ ঘুরে যায়! » &803) =F + ইস TEE * প্বতা রক্ষাকারী অঙ্গ -+ বায়ুথলি। EET EST""},{""label"":""a"",""text"":""ও tr es পথ্লশ-""}]"
previous_year,,,39,80,draft,easy,needs_review,,cell-biology|botany,missing-or-unreadable-options|missing-correct-answer|ocr-review-required|answer-needs-review,০8-16+ tant মান কোনটি? (4)3-ফসফোল্লিসারিক এসিড ©= an . 67. উদ্ভিদ দেহে প্রয্নেদনে প্রধান অঙ্গ কোনটি? ‘ OF Of 0) লেন্টিসেল (0) এ্ন্থিটিস্যু (০) তৃবীয় কোষ (৫) mmm,[]
